full_name,organization_name,email,phone_number,is_present
Nguyen Van An,Phong Cong tac sinh vien,an.nguyen01@example.com,0901000001,false
Tran Thi Bich,Khoa Cong nghe thong tin,bich.tran02@example.com,0901000002,false
Le Quang Huy,Trung tam Hoc lieu,huy.le03@example.com,0901000003,true
Pham Gia Bao,Phong Dao tao,bao.pham04@example.com,0901000004,false
Do Minh Chau,Khoa Ky thuat phan mem,chau.do05@example.com,0901000005,false
Vo Thanh Dat,Phong Khao thi,dat.vo06@example.com,0901000006,true
Bui Ngoc Diep,Khoa Mang may tinh,diep.bui07@example.com,0901000007,false
Hoang Khanh Linh,Phong Hanh chinh,linh.hoang08@example.com,0901000008,false
Dang Tuan Kiet,Khoa He thong thong tin,kiet.dang09@example.com,0901000009,false
Phan Thu Ha,Phong Tai chinh,ha.phan10@example.com,0901000010
